,address,assessedvalue,buildingsize,city,class,estimatedvalue,homeownerexemption,lotsize,pin,seniorcitizenexemption,seniorfreezeexemption,taxafterexemptions,taxbeforeexemptions,taxbill2013,taxbill2014,taxbill2015,taxbill2016,taxbill2017,taxcode,township,zip
0,1235 N RIDGELAND AVE,"41,798","1,911",OAK PARK,2-04,"$417,980",0.00,"6,000",16-05-100-024-0000,0.00,0.00,"15,096.72","15,096.72","$14,154.72","$13,338.09","$14,353.76","$16,020.08","$15,096.72",27001,OAK PARK,60302
0,1231 N RIDGELAND AVE,"42,038","2,292",OAK PARK,2-04,"$420,380","1,219.10","6,000",16-05-100-025-0000,0.00,0.00,"13,964.30","15,183.40","$10,651.28","$11,211.37","$13,615.90","$13,494.37","$13,964.30",27001,OAK PARK,60302
0,1227 N RIDGELAND AVE,"51,841","2,167",OAK PARK,2-05,"$518,410",0.00,"6,000",16-05-100-026-0000,0.00,0.00,"18,724.03","18,724.03","$13,109.23","$12,225.54","$13,122.63","$16,455.99","$18,724.03",27001,OAK PARK,60302
0,1225 N RIDGELAND AVE,"53,838","2,246",OAK PARK,2-06,"$538,380","1,219.10","6,000",16-05-100-027-0000,0.00,0.00,"18,226.28","19,445.38","$12,718.77","$14,554.41","$14,241.59","$15,945.56","$18,226.28",27001,OAK PARK,60302
0,1221 N RIDGELAND AVE,"41,370","1,490",OAK PARK,2-05,"$413,700","1,219.10","6,000",16-05-100-028-0000,0.00,0.00,"13,723.04","14,942.14","$10,013.99","$10,178.87","$10,934.31","$12,254.41","$13,723.04",27001,OAK PARK,60302
0,1217 N RIDGELAND AVE,"48,047","2,417",OAK PARK,2-06,"$480,470","1,219.10","6,000",16-05-100-029-0000,0.00,0.00,"16,134.67","17,353.77","$16,328.93","$15,185.07","$16,321.67","$18,267.11","$16,134.67",27001,OAK PARK,60302
0,1213 N RIDGELAND AVE,"48,177","2,088",OAK PARK,2-05,"$481,770","1,219.10","6,000",16-05-100-030-0000,975.28,0.00,"15,206.32","17,400.70","$12,207.40","$12,569.95","$12,663.97","$14,221.02","$15,206.32",27001,OAK PARK,60302
0,1201 N RIDGELAND AVE,"57,215","2,444",OAK PARK,2-06,"$572,150","1,219.10","6,366",16-05-100-034-0000,0.00,0.00,"19,445.99","20,665.09","$15,707.90","$16,306.22","$16,191.80","$18,122.09","$19,445.99",27001,OAK PARK,60302
0,1211 N RIDGELAND AVE,"51,137","2,132",OAK PARK,2-05,"$511,370","1,219.10","9,000",16-05-100-035-0000,0.00,0.00,"17,250.75","18,469.85","$13,300.92","$13,716.31","$14,741.07","$16,502.94","$17,250.75",27001,OAK PARK,60302
0,1205 N RIDGELAND AVE,"69,915","3,394",OAK PARK,2-06,"$699,150","1,219.10","9,000",16-05-100-036-0000,0.00,0.00,"24,032.97","25,252.07","$19,001.44","$19,812.42","$21,301.44","$23,824.95","$24,032.97",27001,OAK PARK,60302
0,6323  NORTH AVE,"190,986",,OAK PARK,5-17,,0.00,"20,887",16-05-100-038-0000,0.00,0.00,"68,980.82","68,980.82","$67,010.12","$65,951.93","$72,115.57","$83,413.09","$68,980.82",27001,OAK PARK,60302
0,6315  NORTH AVE,"212,903",,OAK PARK,5-17,,0.00,"25,137",16-05-100-039-0000,0.00,0.00,"76,896.93","76,896.93","$58,943.33","$68,146.89","$74,303.76","$85,824.37","$76,896.93",27001,OAK PARK,60302
0,6249  NORTH AVE,"91,827",,OAK PARK,5-22,,0.00,"13,500",16-05-101-001-0000,0.00,0.00,"33,166.35","33,166.35","$25,889.86","$29,048.44","$31,260.45","$34,889.22","$33,166.35",27001,OAK PARK,60302
0,6211  NORTH AVE,0,,OAK PARK,0-00,,,0,16-05-101-002-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6235  NORTH AVE,0,,OAK PARK,0-00,,,0,16-05-101-003-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6235  NORTH AVE,0,,OAK PARK,0-00,,,0,16-05-101-004-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6205  NORTH AVE,0,,OAK PARK,0-00,,,0,16-05-101-005-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6235  NORTH AVE,0,,OAK PARK,0-00,,,0,16-05-101-006-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,1230 N RIDGELAND AVE,"43,723","2,052",OAK PARK,2-78,"$437,230","1,219.10","5,000",16-05-101-008-0000,0.00,0.00,"14,572.88","15,791.98","$7,936.35","$10,504.96","$11,285.27","$12,645.95","$14,572.88",27001,OAK PARK,60302
0,1228 N RIDGELAND AVE,"34,671","1,442",OAK PARK,2-03,"$346,710","1,219.10","5,000",16-05-101-009-0000,0.00,0.00,"11,303.50","12,522.60","$7,491.48","$7,736.40","$8,305.70","$9,320.64","$11,303.50",27001,OAK PARK,60302
0,1224 N RIDGELAND AVE,"48,696","2,510",OAK PARK,2-04,"$486,960","1,219.10","5,000",16-05-101-010-0000,0.00,0.00,"16,369.10","17,588.20","$10,743.45","$11,318.96","$12,161.11","$13,623.59","$16,369.10",27001,OAK PARK,60302
0,1222 N RIDGELAND AVE,"32,716","1,623",OAK PARK,2-03,"$327,160","1,219.10","5,000",16-05-101-011-0000,0.00,0.00,"10,597.39","11,816.49","$9,751.03","$8,167.00","$8,769.10","$9,837.81","$10,597.39",27001,OAK PARK,60302
0,1220 N RIDGELAND AVE,"39,769","2,110",OAK PARK,2-04,"$397,690","1,219.10","5,000",16-05-101-012-0000,0.00,0.00,"13,144.82","14,363.92","$9,613.37","$9,739.54","$10,461.59","$11,726.75","$13,144.82",27001,OAK PARK,60302
0,1216 N RIDGELAND AVE,"33,896","1,676",OAK PARK,2-03,"$338,960","1,219.10","5,000",16-05-101-013-0000,0.00,0.00,"11,023.59","12,242.69","$8,517.89","$8,849.19","$8,492.20","$9,528.69","$11,023.59",27001,OAK PARK,60302
0,1212 N RIDGELAND AVE,"46,385","2,313",OAK PARK,2-04,"$463,850","1,219.10","5,000",16-05-101-014-0000,0.00,0.00,"15,534.38","16,753.48","$10,687.95","$11,111.16","$11,937.59","$13,374.05","$15,534.38",27001,OAK PARK,60302
0,1210 N RIDGELAND AVE,"31,013","1,461",OAK PARK,2-03,"$310,130","1,219.10","5,000",16-05-101-015-0000,0.00,0.00,"9,982.23","11,201.33","$7,521.43","$8,620.73","$9,257.50","$10,382.84","$9,982.23",27001,OAK PARK,60302
0,1206 N RIDGELAND AVE,"41,685","1,957",OAK PARK,2-04,"$416,850","1,219.10","5,000",16-05-101-016-0000,0.00,0.00,"13,836.79","15,055.89","$8,589.16","$9,628.38","$10,341.86","$11,593.08","$13,836.79",27001,OAK PARK,60302
0,1204 N RIDGELAND AVE,"36,118","1,988",OAK PARK,2-04,"$361,180","1,219.10","5,000",16-05-101-017-0000,975.28,0.00,"10,850.84","13,045.22","$8,131.21","$8,524.57","$9,139.92","$10,287.94","$10,850.84",27001,OAK PARK,60302
0,1200 N RIDGELAND AVE,"37,968","1,860",OAK PARK,2-05,"$379,680","1,219.10","5,305",16-05-101-018-0000,0.00,0.00,"12,494.31","13,713.41","$10,830.25","$11,182.84","$12,014.76","$13,460.19","$12,494.31",27001,OAK PARK,60302
0,1231 N HARVEY AVE,"40,307","2,203",OAK PARK,2-04,"$403,070","1,219.10","5,000",16-05-101-019-0000,975.28,0.00,"12,363.87","14,558.25","$5,041.83","$5,226.54","$8,402.19","$8,178.17","$12,363.87",27001,OAK PARK,60302
0,1227 N HARVEY AVE,"45,271","2,269",OAK PARK,2-04,"$452,710","1,219.10","5,000",16-05-101-020-0000,0.00,0.00,"15,131.96","16,351.06","$9,255.67","$10,724.82","$11,521.77","$12,910.00","$15,131.96",27001,OAK PARK,60302
0,1225 N HARVEY AVE,"37,303","2,265",OAK PARK,2-04,"$373,030","1,219.10","5,000",16-05-101-021-0000,975.28,0.00,"11,278.87","13,473.25","$7,751.51","$8,586.30","$9,206.28","$10,362.03","$11,278.87",27001,OAK PARK,60302
0,1223 N HARVEY AVE,"32,700","1,131",OAK PARK,2-03,"$327,000","1,219.10","5,000",16-05-101-022-0000,975.28,"3,635.84","5,980.42","11,810.64","$6,730.60","$6,535.94","$7,440.27","$7,904.94","$5,980.42",27001,OAK PARK,60302
0,1221 N HARVEY AVE,"35,719","2,153",OAK PARK,2-04,"$357,190","1,219.10","5,000",16-05-101-023-0000,975.28,0.00,"10,706.75","12,901.13","$7,910.92","$7,661.39","$8,210.97","$9,251.15","$10,706.75",27001,OAK PARK,60302
0,1217 N HARVEY AVE,"40,381","2,010",OAK PARK,2-04,"$403,810","1,219.10","5,000",16-05-101-024-0000,0.00,0.00,"13,365.85","14,584.95","$9,446.62","$9,640.06","$10,354.43","$11,607.15","$13,365.85",27001,OAK PARK,60302
0,1213 N HARVEY AVE,"38,257","2,008",OAK PARK,2-04,"$382,570","1,219.10","5,000",16-05-101-025-0000,0.00,0.00,"12,598.67","13,817.77","$9,111.54","$8,671.63","$9,312.23","$10,444.01","$12,598.67",27001,OAK PARK,60302
0,1211 N HARVEY AVE,"34,199","1,536",OAK PARK,2-03,"$341,990","1,219.10","5,000",16-05-101-026-0000,0.00,0.00,"11,132.94","12,352.04","$8,723.64","$9,131.01","$9,806.70","$10,995.79","$11,132.94",27001,OAK PARK,60302
0,1207 N HARVEY AVE,"36,595","2,019",OAK PARK,2-04,"$365,950","1,219.10","5,000",16-05-101-027-0000,0.00,0.00,"11,998.38","13,217.48","$8,740.88","$9,093.14","$9,765.89","$10,950.27","$11,998.38",27001,OAK PARK,60302
0,1205 N HARVEY AVE,"40,713","1,622",OAK PARK,2-03,"$407,130","1,219.10","5,000",16-05-101-028-0000,975.28,0.00,"12,510.40","14,704.78","$9,584.40","$9,649.16","$9,688.46","$10,900.16","$12,510.40",27001,OAK PARK,60302
0,1230 N HARVEY AVE,"29,658","1,178",OAK PARK,2-03,"$296,580","1,219.10","4,493",16-05-102-008-0000,0.00,0.00,"9,492.89","10,711.99","$7,143.92","$6,871.74","$7,375.40","$8,282.27","$9,492.89",27001,OAK PARK,60302
0,1228 N HARVEY AVE,"34,339","1,795",OAK PARK,2-03,"$343,390","1,219.10","4,624",16-05-102-009-0000,0.00,0.00,"11,183.54","12,402.64","$8,601.63","$8,817.34","$9,469.12","$10,619.03","$11,183.54",27001,OAK PARK,60302
0,1226 N HARVEY AVE,"31,805","1,200",OAK PARK,2-05,"$318,050","1,219.10","4,624",16-05-102-010-0000,0.00,0.00,"10,268.36","11,487.46","$7,501.26","$7,913.58","$7,991.23","$8,969.73","$10,268.36",27001,OAK PARK,60302
0,1222 N HARVEY AVE,"36,189","1,689",OAK PARK,2-03,"$361,890","1,219.10","4,624",16-05-102-011-0000,0.00,0.00,"11,851.72","13,070.82","$8,652.73","$9,678.92","$9,303.17","$10,433.96","$11,851.72",27001,OAK PARK,60302
0,1220 N HARVEY AVE,"35,694","1,836",OAK PARK,2-05,"$356,940","1,219.10","4,624",16-05-102-012-0000,0.00,0.00,"11,673.00","12,892.10","$9,730.49","$10,086.41","$10,834.85","$10,693.12","$11,673.00",27001,OAK PARK,60302
0,1218 N HARVEY AVE,"40,117","2,389",OAK PARK,2-06,"$401,170","1,219.10","4,624",16-05-102-013-0000,0.00,0.00,"13,270.51","14,489.61","$10,614.48","$10,736.50","$10,700.66","$11,993.52","$13,270.51",27001,OAK PARK,60302
0,1214 N HARVEY AVE,"45,538","2,337",OAK PARK,2-04,"$455,380","1,219.10","4,624",16-05-102-014-0000,0.00,0.00,"15,228.39","16,447.49","$9,575.60","$11,736.41","$10,769.85","$12,070.77","$15,228.39",27001,OAK PARK,60302
0,1212 N HARVEY AVE,"30,664","1,298",OAK PARK,2-05,"$306,640","1,219.10","4,574",16-05-102-015-0000,0.00,0.00,"9,856.18","11,075.28","$7,425.47","$8,097.90","$8,694.91","$9,754.97","$9,856.18",27001,OAK PARK,60302
0,1233 N LOMBARD AVE,"31,402","1,340",OAK PARK,2-03,"$314,020","1,219.10","4,490",16-05-102-016-0000,0.00,0.00,"10,122.80","11,341.90","$7,667.89","$6,951.54","$7,461.21","$8,378.04","$10,122.80",27001,OAK PARK,60302
0,1229 N LOMBARD AVE,"26,918","1,175",OAK PARK,2-03,"$269,180","1,219.10","4,624",16-05-102-017-0000,0.00,0.00,"8,503.22","9,722.32","$7,065.81","$7,109.42","$7,631.09","$8,567.56","$8,503.22",27001,OAK PARK,60302
0,1227 N LOMBARD AVE,"31,428","1,344",OAK PARK,2-03,"$314,280","1,219.10","4,624",16-05-102-018-0000,975.28,"2,583.88","6,329.20","11,351.28","$7,080.35","$7,121.47","$7,826.90","$8,315.72","$6,329.20",27001,OAK PARK,60302
0,1225 N LOMBARD AVE,"34,352","1,544",OAK PARK,2-03,"$343,520",0.00,"4,624",16-05-102-019-0000,0.00,0.00,"12,407.39","12,407.39","$7,068.74","$7,521.71","$8,060.70","$9,083.30","$12,407.39",27001,OAK PARK,60302
0,1221 N LOMBARD AVE,"27,641","1,426",OAK PARK,2-03,"$276,410","1,219.10","4,624",16-05-102-020-0000,0.00,0.00,"8,764.35","9,983.45","$6,660.30","$7,552.33","$8,107.72","$8,726.65","$8,764.35",27001,OAK PARK,60302
0,1219 N LOMBARD AVE,"31,307","1,440",OAK PARK,2-05,"$313,070","1,219.10","4,624",16-05-102-021-0000,0.00,0.00,"10,088.42","11,307.52","$8,309.33","$8,695.36","$9,337.90","$10,472.58","$10,088.42",27001,OAK PARK,60302
0,1215 N LOMBARD AVE,"41,870","2,150",OAK PARK,2-04,"$418,700","1,219.10","4,624",16-05-102-022-0000,975.28,0.00,"12,928.31","15,122.69","$7,996.25","$9,092.28","$8,797.34","$9,905.58","$12,928.31",27001,OAK PARK,60302
0,1213 N LOMBARD AVE,"30,110","1,278",OAK PARK,2-03,"$301,100","1,219.10","4,574",16-05-102-023-0000,0.00,0.00,"9,656.13","10,875.23","$6,356.63","$7,394.20","$7,937.58","$8,909.71","$9,656.13",27001,OAK PARK,60302
0,222  LE MOYNE PKY,"36,722","2,037",OAK PARK,2-04,"$367,220","1,219.10","4,765",16-05-102-024-0000,0.00,0.00,"12,044.22","13,263.32","$8,039.53","$9,917.58","$10,653.09","$11,940.40","$12,044.22",27001,OAK PARK,60302
0,220  LE MOYNE PKY,"33,999","1,892",OAK PARK,2-04,"$339,990","1,219.10","4,375",16-05-102-025-0000,0.00,0.00,"11,060.77","12,279.87","$7,459.94","$8,266.11","$8,875.86","$9,286.90","$11,060.77",27001,OAK PARK,60302
0,216  LE MOYNE PKY,"30,461","1,335",OAK PARK,2-03,"$304,610","1,219.10","4,375",16-05-102-026-0000,0.00,0.00,"9,782.91","11,002.01","$7,524.73","$7,694.84","$7,452.57","$8,368.42","$9,782.91",27001,OAK PARK,60302
0,214  LE MOYNE PKY,"32,730","1,552",OAK PARK,2-03,"$327,300","1,219.10","4,375",16-05-102-027-0000,0.00,0.00,"10,602.39","11,821.49","$7,167.64","$8,025.23","$8,616.66","$9,667.53","$10,602.39",27001,OAK PARK,60302
0,212  LE MOYNE PKY,"44,961","1,647",OAK PARK,2-03,"$449,610",0.00,"4,375",16-05-102-028-0000,0.00,0.00,"16,239.14","16,239.14","$8,584.40","$9,969.47","$9,656.02","$10,776.83","$16,239.14",27001,OAK PARK,60302
0,208  LE MOYNE PKY,"39,622","1,897",OAK PARK,2-04,"$396,220","1,219.10","4,375",16-05-102-029-0000,0.00,0.00,"13,091.67","14,310.77","$8,762.39","$9,446.77","$10,146.31","$11,374.98","$13,091.67",27001,OAK PARK,60302
0,206  LE MOYNE PKY,"43,199","2,631",OAK PARK,2-04,"$431,990",0.00,"4,375",16-05-102-030-0000,0.00,0.00,"15,602.77","15,602.77","$9,546.26","$10,158.96","$9,671.83","$10,881.64","$15,602.77",27001,OAK PARK,60302
0,202  LE MOYNE PKY,"60,078","2,052",OAK PARK,2-04,"$600,780",0.00,"5,000",16-05-102-031-0000,0.00,0.00,"21,699.13","21,699.13","$11,084.16","$12,246.69","$13,179.26","$14,709.20","$21,699.13",27001,OAK PARK,60302
0,6201  NORTH AVE,"292,925",,OAK PARK,5-30,,0.00,"36,001",16-05-102-032-0000,0.00,0.00,"105,799.47","105,799.47","$105,593.19","$102,598.07","$97,473.78","$108,788.84","$105,799.47",27001,OAK PARK,60302
0,6149  NORTH AVE,"77,695",,OAK PARK,3-18,,0.00,"6,250",16-05-103-001-0000,0.00,0.00,"28,062.10","28,062.10","$23,560.39","$27,363.52","$24,743.59","$29,487.89","$28,062.10",27001,OAK PARK,60302
0,6147  NORTH AVE,"125,250",,OAK PARK,5-17,,0.00,"12,500",16-05-103-002-0000,0.00,0.00,"45,238.12","45,238.12","$39,052.64","$39,206.66","$42,192.33","$47,090.22","$45,238.12",27001,OAK PARK,60302
0,1230 N LOMBARD AVE,"26,976","1,236",OAK PARK,2-05,"$269,760","1,219.10","4,528",16-05-103-008-0000,0.00,0.00,"8,524.19","9,743.29","$6,128.51","$6,765.87","$7,261.34","$7,189.91","$8,524.19",27001,OAK PARK,60302
0,1228 N LOMBARD AVE,"38,312","1,788",OAK PARK,2-05,"$383,120","1,219.10","4,658",16-05-103-009-0000,0.00,0.00,"12,618.54","13,837.64","$5,893.40","$2,294.43","$10,896.88","$12,212.48","$12,618.54",27001,OAK PARK,60302
0,1226 N LOMBARD AVE,"35,306","1,958",OAK PARK,2-04,"$353,060",0.00,"4,658",16-05-103-010-0000,0.00,0.00,"12,751.91","12,751.91","$8,750.17","$9,116.87","$9,811.03","$10,017.86","$12,751.91",27001,OAK PARK,60302
0,1224 N LOMBARD AVE,"34,752","1,274",OAK PARK,2-03,"$347,520","1,219.10","4,658",16-05-103-011-0000,0.00,0.00,"11,332.75","12,551.85","$9,216.67","$7,582.33","$8,801.67","$9,874.00","$11,332.75",27001,OAK PARK,60302
0,1220 N LOMBARD AVE,"43,700","2,196",OAK PARK,2-04,"$437,000","1,219.10","4,658",16-05-103-012-0000,975.28,0.00,"13,589.31","15,783.69","$10,051.40","$9,587.56","$10,283.88","$11,564.65","$13,589.31",27001,OAK PARK,60302
0,1218 N LOMBARD AVE,"38,424","1,862",OAK PARK,2-04,"$384,240","1,219.10","4,658",16-05-103-013-0000,0.00,0.00,"12,659.01","13,878.11","$9,003.22","$10,292.86","$11,056.88","$8,644.95","$12,659.01",27001,OAK PARK,60302
0,1216 N LOMBARD AVE,"29,454","1,270",OAK PARK,2-03,"$294,540","1,219.10","4,658",16-05-103-014-0000,0.00,0.00,"9,419.13","10,638.23","$7,500.65","$7,399.86","$7,943.66","$8,916.61","$9,419.13",27001,OAK PARK,60302
0,1212 N LOMBARD AVE,"38,386","1,893",OAK PARK,2-04,"$383,860","1,219.10","4,613",16-05-103-015-0000,0.00,0.00,"12,645.24","13,864.34","$8,564.84","$8,964.52","$9,627.37","$10,795.78","$12,645.24",27001,OAK PARK,60302
0,1231  HAYES AVE,"47,348","1,022",OAK PARK,2-03,"$473,480",0.00,"4,528",16-05-103-016-0000,0.00,0.00,"17,101.29","17,101.29","$4,067.99","$4,188.76","$9,750.08","$10,881.93","$17,101.29",27001,OAK PARK,60302
0,1229  HAYES AVE,"38,500","2,219",OAK PARK,2-04,"$385,000","1,219.10","4,658",16-05-103-017-0000,0.00,0.00,"12,686.44","13,905.54","$6,815.93","$9,659.49","$10,375.37","$11,630.55","$12,686.44",27001,OAK PARK,60302
0,1227  HAYES AVE,"33,194","1,396",OAK PARK,2-03,"$331,940","1,219.10","4,658",16-05-103-018-0000,975.28,"3,618.65","6,176.08","11,989.12","$6,926.81","$6,967.04","$7,657.17","$8,135.39","$6,176.08",27001,OAK PARK,60302
0,1225  HAYES AVE,"34,546","1,647",OAK PARK,2-03,"$345,460","1,219.10","4,658",16-05-103-019-0000,0.00,0.00,"11,258.27","12,477.37","$7,239.89","$9,109.98","$8,298.14","$9,312.17","$11,258.27",27001,OAK PARK,60302
0,1221  HAYES AVE,"35,813","2,009",OAK PARK,2-04,"$358,130",0.00,"4,658",16-05-103-020-0000,0.00,0.00,"12,935.02","12,935.02","$8,414.96","$8,913.74","$7,176.34","$10,235.53","$12,935.02",27001,OAK PARK,60302
0,1219  HAYES AVE,"41,620","2,002",OAK PARK,2-04,"$416,200",0.00,"4,658",16-05-103-021-0000,0.00,0.00,"15,032.48","15,032.48","$8,797.72","$9,291.72","$9,959.82","$11,217.47","$15,032.48",27001,OAK PARK,60302
0,1215  HAYES AVE,"34,983","1,672",OAK PARK,2-03,"$349,830",0.00,"4,658",16-05-103-022-0000,0.00,0.00,"12,635.24","12,635.24","$8,922.66","$9,766.96","$10,510.65","$11,730.77","$12,635.24",27001,OAK PARK,60302
0,1213  HAYES AVE,"30,906","1,244",OAK PARK,2-05,"$309,060","1,219.10","4,613",16-05-103-023-0000,975.28,"3,371.66","5,596.64","11,162.69","$7,222.90","$7,264.85","$7,014.85","$7,452.95","$5,596.64",27001,OAK PARK,60302
0,152  LE MOYNE PKY,"35,544","2,210",OAK PARK,2-06,"$355,440","1,219.10","4,902",16-05-103-024-0000,0.00,0.00,"11,618.75","12,837.85","$8,699.19","$9,851.80","$10,582.41","$11,861.57","$11,618.75",27001,OAK PARK,60302
0,150  LE MOYNE PKY,"37,523","1,299",OAK PARK,2-03,"$375,230","1,219.10","4,375",16-05-103-025-0000,0.00,0.00,"12,333.51","13,552.61","$8,472.41","$8,735.32","$9,380.74","$10,520.39","$12,333.51",27001,OAK PARK,60302
0,146  LE MOYNE PKY,"28,789","1,425",OAK PARK,2-03,"$287,890","1,219.10","4,375",16-05-103-026-0000,0.00,0.00,"9,178.97","10,398.07","$8,422.90","$8,367.06","$8,984.38","$10,078.17","$9,178.97",27001,OAK PARK,60302
0,140  LE MOYNE PKY,"28,603","1,197",OAK PARK,2-03,"$286,030","1,219.10","4,375",16-05-103-028-0000,0.00,0.00,"9,111.80","10,330.90","$6,492.33","$6,807.43","$7,306.07","$8,205.02","$9,111.80",27001,OAK PARK,60302
0,138  LE MOYNE PKY,"41,158",,OAK PARK,2-03,"$411,580",0.00,"4,375",16-05-103-029-0000,0.00,0.00,"14,865.58","14,865.58","$8,635.74","$9,693.67","$10,412.13","$11,671.62","$14,865.58",27001,OAK PARK,60302
0,134  LE MOYNE PKY,"34,696","1,831",OAK PARK,2-04,"$346,960","1,219.10","4,375",16-05-103-030-0000,975.28,0.00,"10,337.24","12,531.62","$6,702.85","$8,295.37","$8,091.64","$9,117.90","$10,337.24",27001,OAK PARK,60302
0,130  LE MOYNE PKY,"53,530","2,285",OAK PARK,2-06,"$535,300",0.00,"5,000",16-05-103-031-0000,0.00,0.00,"19,334.07","19,334.07","$9,346.87","$10,570.99","$11,356.22","$12,725.21","$19,334.07",27001,OAK PARK,60302
0,6129  NORTH AVE,"230,656",,OAK PARK,5-23,,0.00,"17,408",16-05-103-032-0000,0.00,0.00,"83,309.03","83,309.03","$53,819.58","$72,918.11","$76,631.95","$85,527.73","$83,309.03",27001,OAK PARK,60302
0,6111  NORTH AVE,"35,000",,OAK PARK,5-17,,0.00,"3,125",16-05-104-005-0000,0.00,0.00,"12,641.46","12,641.46","$13,932.83","$10,890.81","$11,720.15","$13,080.71","$12,641.46",27001,OAK PARK,60302
0,6109  NORTH AVE,"35,000",,OAK PARK,5-17,,0.00,"3,125",16-05-104-006-0000,0.00,0.00,"12,641.46","12,641.46","$13,933.08","$10,890.81","$11,720.15","$13,080.71","$12,641.46",27001,OAK PARK,60302
0,6101  NORTH AVE,"115,630",,OAK PARK,3-18,,0.00,"14,283",16-05-104-007-0000,0.00,0.00,"41,763.56","41,763.56","$45,972.23","$42,390.46","$45,618.53","$48,757.61","$41,763.56",27001,OAK PARK,60302
0,1230  HAYES AVE,"29,121","1,530",OAK PARK,2-03,"$291,210","1,219.10","4,528",16-05-104-008-0000,975.28,"3,067.38","5,256.27","10,518.03","$6,004.43","$6,039.30","$6,637.54","$8,976.62","$5,256.27",27001,OAK PARK,60302
0,1228  HAYES AVE,"23,802","1,010",OAK PARK,2-03,"$238,020","1,219.10","4,658",16-05-104-009-0000,975.28,"1,575.81","4,826.66","8,596.85","$5,573.62","$5,605.99","$6,161.30","$6,546.10","$4,826.66",27001,OAK PARK,60302
0,1226  HAYES AVE,"26,135","1,010",OAK PARK,2-03,"$261,350","1,219.10","4,658",16-05-104-010-0000,975.28,"2,828.07","4,417.04","9,439.49","$5,162.86","$5,192.85","$5,707.23","$6,063.67","$4,417.04",27001,OAK PARK,60302
0,1222  HAYES AVE,"27,746","1,010",OAK PARK,2-03,"$277,460","1,219.10","4,658",16-05-104-011-0000,0.00,0.00,"8,802.27","10,021.37","$6,631.33","$7,681.43","$8,246.65","$9,254.59","$8,802.27",27001,OAK PARK,60302
