,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-07-321-021-1002,405 2 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,071","$4,262","$5,333","$1,071","$4,262","$5,333","$53,330","$53,330",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-021-1003,405 3 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,080","$4,298","$5,378","$1,079","$4,297","$5,376","$53,780","$53,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-021-1004,405 4 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,085","$4,318","$5,403","$1,085","$4,317","$5,402","$54,030","$54,020",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-021-1005,405 5 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,364","$5,429","$6,793","$1,364","$5,429","$6,793","$67,930","$67,930",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",Yes | $600.68,2017,N/A,N/A,N/A
0,16-07-321-021-1006,405 6 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,775","$7,063","$8,838","$1,774","$7,063","$8,837","$88,380","$88,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-321-021-1007,405 7 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,075","$4,277","$5,352","$1,074","$4,277","$5,351","$53,520","$53,510",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-321-021-1008,405 8 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,075","$4,277","$5,352","$1,074","$4,277","$5,351","$53,520","$53,510",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-021-1009,405 9 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,084","$4,313","$5,397","$1,083","$4,312","$5,395","$53,970","$53,950",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,234.98",Yes,"Yes | $1,102.54",2017,N/A,N/A,N/A
0,16-07-321-021-1010,405 10 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,368","$5,445","$6,813","$1,368","$5,444","$6,812","$68,130","$68,120",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,61,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-321-022-1001,409 1 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$676,"$4,687","$5,363",$675,"$4,686","$5,361","$53,630","$53,610",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
