,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
0,"$14,807.44","$17,125.15","$16,481.02","$16,141.49","$14,689.81","1,132.50",0.00,0.00,"15,939.94","14,807.44","$436,650","43,665",864,"2,144",2-95,27001,111 S HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-026-0000
0,"$16,147.64","$18,447.43","$17,755.96","$16,147.71","$14,659.66",0.00,0.00,0.00,"16,147.64","16,147.64","$442,350","44,235",801,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-027-0000
0,"$15,015.14","$17,131.73","$16,487.36","$16,147.71","$14,659.66","1,132.50",0.00,0.00,"16,147.64","15,015.14","$442,350","44,235",801,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-028-0000
0,"$15,015.14","$17,131.73","$16,487.36","$16,147.71","$14,659.66","1,132.50",0.00,0.00,"16,147.64","15,015.14","$442,350","44,235",801,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-029-0000
0,"$14,919.44","$17,137.12","$16,492.56","$16,152.71","$14,693.40","1,132.50",0.00,0.00,"16,051.94","14,919.44","$439,740","43,974",871,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-030-0000
0,"$14,816.95","$17,133.70","$16,489.14","$16,149.42","$14,692.25","1,132.50",0.00,0.00,"15,949.45","14,816.95","$436,910","43,691",869,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-031-0000
0,"$16,044.35","$18,444.01","$17,752.66","$17,363.52","$15,663.43",0.00,0.00,0.00,"16,044.35","16,044.35","$439,520","43,952",799,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-032-0000
0,"$15,939.94","$18,438.22","$17,747.08","$16,138.93","$14,658.37",0.00,0.00,0.00,"15,939.94","15,939.94","$436,650","43,665",799,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-033-0000
0,"$15,011.06","$17,128.31","$16,484.06","$16,144.42","$14,658.37","1,132.50",0.00,0.00,"16,143.56","15,011.06","$442,230","44,223",799,"2,144",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-034-0000
0,"$13,759.31","$15,859.84","$15,263.16","$14,950.31","$13,623.16","1,132.50",0.00,0.00,"14,891.81","13,759.31","$407,950","40,795",811,"1,998",2-95,27001,111  HOME AVE,OAK PARK,60302,OAK PARK,16-07-302-035-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,$30,3,"10,580",,2-97,27001,0  UNKNOWN,UNKNOWN,00000,OAK PARK,16-07-302-036-0000
0,"$26,045.91","$29,735.08","$28,620.38","$27,993.10","$26,460.07",0.00,0.00,0.00,"26,045.91","26,045.91",,"71,350","5,478",,5-97,27001,1001 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-038-0000
0,"$17,501.20",$0.00,$0.00,$0.00,$0.00,0.00,0.00,0.00,"17,501.20","17,501.20","$479,420","47,942","5,479",,2-97,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-039-0000
0,"$6,049.82","$7,897.09","$7,598.79","$7,453.94","$8,776.47","1,132.50",0.00,0.00,"7,182.32","6,049.82","$196,760","19,676","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1001
0,"$9,353.54","$12,134.96","$11,677.84","$11,443.57","$13,275.84","1,132.50",0.00,0.00,"10,486.04","9,353.54","$287,270","28,727","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1002
0,"$12,712.43","$16,443.09","$15,824.52","$15,499.27","$16,007.59","1,132.50",0.00,0.00,"13,844.93","12,712.43","$379,270","37,927","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1003
0,$455.94,$585.09,$563.13,$550.79,$620.98,0.00,0.00,0.00,455.94,455.94,"$12,510","1,251","5,478",,2-99,27001,1011 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1004
0,$455.94,$585.09,$563.13,$550.79,$620.98,0.00,0.00,0.00,455.94,455.94,"$12,510","1,251","5,478",,2-99,27001,1011 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1005
0,$0.00,"$1,170.18","$1,126.26","$1,101.58","$1,242.40",912.23,0.00,0.00,912.23,0.00,"$25,000","2,500","5,478",,2-99,27001,1011 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1006
0,"$8,924.67","$11,584.87","$11,148.33","$10,925.70","$12,691.90","1,132.50",0.00,0.00,"10,057.17","8,924.67","$275,520","27,552","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1007
0,"$9,408.36","$12,205.22","$11,745.46","$11,509.65","$11,094.00","1,132.50",0.00,0.00,"10,540.86","9,408.36","$288,770","28,877","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1008
0,"$3,658.43","$4,829.67","$4,646.50","$4,566.38",$774.76,"1,132.50",0.00,0.00,"4,790.93","3,658.43","$131,260","13,126","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1009
0,"$4,132.95","$5,438.58","$5,232.47","$5,139.48","$6,166.33","1,132.50",0.00,0.00,"5,265.45","4,132.95","$144,260","14,426","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1010
0,"$8,624.33","$11,062.41","$10,647.74","$8,219.90","$10,022.31",0.00,0.00,0.00,"8,624.33","8,624.33","$236,260","23,626","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1011
0,"$10,395.22","$13,333.70","$12,833.79","$12,552.59","$12,018.51",0.00,0.00,0.00,"10,395.22","10,395.22","$284,760","28,476","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1012
0,"$4,379.38","$5,754.74","$5,536.80","$5,437.19","$6,502.02","1,132.50",0.00,0.00,"5,511.88","4,379.38","$151,010","15,101","5,478",,2-99,27001,1005 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1013
0,$455.94,$668.77,$643.69,$629.54,$620.98,0.00,0.00,0.00,455.94,455.94,"$12,510","1,251","5,478",,2-99,27001,1011 W SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-302-040-1014
