,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-06-318-025-0000,1046  CHICAGO AVE,OAK PARK,Oak Park,212,"7,500",20,27001,"$8,438","$70,875","$79,313","$8,437","$70,874","$79,311","$793,130","$793,110","Two to six apartments, up to 62 years",Three Story,Multi Family,6,Masonry,6,2,Partial and Unfinished,Full and Unfinished,Yes,0,None,106,"8,461",2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-06-318-026-0000,1042  CHICAGO AVE,OAK PARK,Oak Park,517,"7,500",20,27001,"$46,875","$98,374","$145,249","$46,875","$98,372","$145,247","$580,996","$580,988",One story store,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-06-318-027-0000,1033  AUGUSTA ST,OAK PARK,Oak Park,206,"7,971",20,27001,"$8,967","$50,501","$59,468","$8,967","$50,500","$59,467","$594,680","$594,670","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Masonry,2,1,Partial and Unfinished,None,No,1,1.5 car attached,98,"2,464",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-06-318-028-0000,641  BELLEFORTE AVE,OAK PARK,Oak Park,206,"6,705",20,27001,"$7,543","$51,466","$59,009","$7,543","$51,466","$59,009","$590,090","$590,090","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Frame,2,1,Full and Unfinished,None,No,1,2 car detached,99,"2,420",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,"Yes | $4,971.48"
0,16-06-318-029-0000,637  BELLEFORTE AVE,OAK PARK,Oak Park,205,"4,693",20,27001,"$5,280","$38,307","$43,587","$5,279","$38,307","$43,586","$435,870","$435,860","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Stucco,1,1,Full and Unfinished,None,No,1,None,99,"1,664",Assessor Valuation,2020,Yes,Yes,Yes,2019,"Yes | $1,315.70","Yes | $1,052.56","Yes | $3,357.40",2018,"Yes | $1,268.60","Yes | $1,014.88","Yes | $3,211.84",2017,"Yes | $1,219.10",Yes | $975.28,"Yes | $3,333.75"
0,16-06-318-030-0000,637  BELLEFORTE AVE,OAK PARK,Oak Park,201,"2,011",20,27001,"$2,262",$531,"$2,793","$2,262",$531,"$2,793","$27,930","$27,930",Residential garage,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-06-318-031-0000,633  BELLEFORTE AVE,OAK PARK,Oak Park,205,"5,811",20,27001,"$6,537","$41,163","$47,700","$6,537","$41,163","$47,700","$477,000","$477,000","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Stucco,1,1,Full and Unfinished,None,Yes,1,2 car detached,98,"2,112",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-06-318-032-0000,631  BELLEFORTE AVE,OAK PARK,Oak Park,205,"5,960",20,27001,"$6,705","$34,643","$41,348","$6,705","$34,643","$41,348","$413,480","$413,480","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,1,1,Full and Unfinished,None,Yes,1,2 car detached,99,"1,676",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-06-318-033-0000,629  BELLEFORTE AVE,OAK PARK,Oak Park,205,"5,960",20,27001,"$6,705","$40,963","$47,668","$6,705","$40,963","$47,668","$476,680","$476,680","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Stucco,1,1,Full and Unfinished,Partial and Unfinished,No,1,2 car detached,97,"1,812",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-06-318-034-0000,627  BELLEFORTE AVE,OAK PARK,Oak Park,206,"5,587",20,27001,"$6,285","$42,216","$48,501","$6,285","$42,216","$48,501","$485,010","$485,010","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Stucco,2,1,Full and Rec Room,Partial and Unfinished,Yes,1,2 car detached,97,"2,229",Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
0,16-06-318-035-0000,621  BELLEFORTE AVE,OAK PARK,Oak Park,204,"7,450",20,27001,"$8,381","$41,037","$49,418","$8,381","$41,037","$49,418","$494,180","$494,180","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Masonry,2,1,Full and Unfinished,Full and Living Area,Yes,0,2 car detached,97,"2,051",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
