,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-08-121-047-0000,131 N TAYLOR AVE,OAK PARK,Oak Park,205,"4,420",90,27001,"$4,199","$34,305","$38,504","$4,199","$34,304","$38,503","$385,040","$385,030","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Stucco,1,0,Full and Unfinished,Partial and Unfinished,No,0,2 car detached,113,"1,754",Assessor Valuation,2020,Yes,Yes,Yes,2019,"Yes | $1,315.70","Yes | $1,052.56","Yes | $10,654.80",2018,"Yes | $1,268.60","Yes | $1,014.88","Yes | $10,248.76",2017,"Yes | $1,219.10",Yes | $975.28,"Yes | $10,089.39"
0,16-08-121-048-0000,127 N TAYLOR AVE,OAK PARK,Oak Park,205,"4,550",90,27001,"$4,323","$32,745","$37,068","$4,322","$32,745","$37,067","$370,680","$370,670","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,0,Full and Unfinished,None,No,0,None,112,"1,706",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-08-121-049-0000,125 N TAYLOR AVE,OAK PARK,Oak Park,205,"4,550",90,27001,"$4,323","$30,401","$34,724","$4,323","$30,401","$34,724","$347,240","$347,240","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,1,1,Full and Unfinished,Full and Unfinished,No,1,None,120,"1,674",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,N/A,N/A,N/A
0,16-08-121-050-0000,123 N TAYLOR AVE,OAK PARK,Oak Park,204,"4,550",90,27001,"$4,323","$36,871","$41,194","$4,322","$36,870","$41,192","$411,940","$411,920","One story residence, any age, 1,801 square feet and over",1.5 to 1.9 Stories,Single Family,Frame,2,1,Full and Unfinished,Full and Living Area,No,0,1 car attached,117,"1,959",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-08-121-051-0000,119 N TAYLOR AVE,OAK PARK,Oak Park,211,"3,725",90,27001,"$3,539","$37,425","$40,964","$3,538","$37,425","$40,963","$409,640","$409,630","Two to six apartments, over 62 years",Two Story,Multi Family,2,Masonry,2,0,Full and Rec Room,None,No,0,None,46,"2,080",2020,Yes,Yes,Yes,2019,"Yes | $1,315.70","Yes | $1,052.56","Yes | $4,414.83",2018,"Yes | $1,268.60","Yes | $1,014.88","Yes | $4,240.16",2017,"Yes | $1,219.10",Yes | $975.28,"Yes | $4,237.46"
0,16-08-121-053-0000,143 N TAYLOR AVE,OAK PARK,Oak Park,211,"8,907",90,27001,"$8,462","$35,722","$44,184","$8,461","$35,722","$44,183","$441,840","$441,830","Two to six apartments, over 62 years",Two Story,Multi Family,3,Stucco,3,0,Full and Unfinished,Partial and Apartment,No,0,3 car detached,134,"3,279",2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-08-121-054-0000,116  LAKE ST,OAK PARK,Oak Park,205,"6,279",90,27001,"$5,965","$36,008","$41,973","$5,965","$33,665","$39,630","$419,730","$396,300","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,1,Full and Unfinished,Partial and Unfinished,No,1,None,140,"1,800",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-08-121-055-0000,114  LAKE ST,OAK PARK,Oak Park,211,"6,317",90,27001,"$6,001","$50,444","$56,445","$6,001","$50,443","$56,444","$564,450","$564,440","Two to six apartments, over 62 years",Two Story,Multi Family,6,Masonry,6,0,Full and Apartment,None,No,0,3 car detached,63,"5,608",2020,Yes,N/A,N/A,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A
0,16-08-121-056-0000,179 N TAYLOR AVE,OAK PARK,Oak Park,234,"8,108",90,27001,"$7,703","$32,234","$39,937","$7,703","$32,234","$39,937","$399,370","$399,370","Split level residence with a lower level below grade, all ages, all sizes",Multi-Level,Single Family,Frame/Masonry,1,1,Partial and Rec Room,None,No,0,2 car attached,53,"1,313",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-08-121-057-0000,175 N TAYLOR AVE,OAK PARK,Oak Park,209,"12,412",90,27001,"$11,791","$129,771","$141,562","$11,791","$129,769","$141,560","$1,415,620","$1,415,600","Two or more story residence, any age, 5,000 sq.ft. & over",Two Story,Single Family,Frame/Masonry,4,0,Full and Unfinished,Full and Living Area,No,2,None,96,"5,181",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
