,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
0,"$13,108.57","$14,061.02","$12,265.33","$12,018.25","$12,106.67",0.00,0.00,0.00,"13,108.57","13,108.57","$359,090","35,909","5,440","1,534",2-03,27001,1234  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-013-0000
0,"$13,454.89","$13,460.93","$12,954.06","$12,691.81","$13,043.96","1,132.50",0.00,0.00,"14,587.39","13,454.89","$425,140","42,514","5,440","1,765",2-03,27001,1230  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-014-0000
0,"$17,834.38","$19,192.38","$18,470.69","$18,087.54","$19,884.97","1,132.50",0.00,0.00,"18,966.88","17,834.38","$531,670","53,167","5,440","2,900",2-04,27001,1226  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-015-0000
0,"$14,916.16","$15,960.76","$15,360.34","$15,045.28","$15,927.76","1,132.50",0.00,0.00,"16,048.66","14,916.16","$439,630","43,963","5,440","1,813",2-04,27001,1222  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-016-0000
0,"$10,584.80","$12,297.06","$11,856.84","$11,394.20","$14,281.04","1,132.50","3,011.09",906.00,"15,634.39","10,584.80","$428,280","42,828","5,400","2,191",2-04,27001,1220  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-017-0000
0,"$13,827.26","$15,375.93","$14,795.55","$14,510.34","$16,152.18","1,132.50",0.00,906.00,"15,865.76","13,827.26","$434,620","43,462","5,400","2,236",2-04,27001,1216  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-018-0000
0,"$11,148.56","$9,376.34","$12,176.28","$11,948.40","$12,791.40","1,132.50",0.00,906.00,"13,187.06","11,148.56","$361,250","36,125","5,360","1,806",2-04,27001,1212  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-019-0000
0,"$14,218.99","$13,152.26","$12,655.30","$14,671.75","$17,224.72","1,132.50",0.00,0.00,"15,351.49","14,218.99","$420,540","42,054","5,360","2,228",2-04,27001,1210  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-020-0000
0,"$16,245.37","$17,234.62","$16,586.31","$20,764.69","$18,913.51","1,132.50",0.00,0.00,"17,377.87","16,245.37","$476,050","47,605","5,360","2,881",2-04,27001,1206  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-021-0000
0,"$11,922.05","$14,827.68","$14,267.82","$14,471.33","$14,214.13","1,132.50",0.00,906.00,"13,960.55","11,922.05","$382,440","38,244","5,320","2,038",2-05,27001,1204  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-022-0000
0,"$21,609.01","$21,824.31","$21,003.96","$20,565.24","$20,171.55","1,132.50",0.00,0.00,"22,741.51","21,609.01","$622,980","62,298","5,644","3,144",2-06,27001,1200  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-023-0000
0,"$18,100.29","$14,603.22","$15,435.06","$15,096.72","$16,020.08",0.00,0.00,0.00,"18,100.29","18,100.29","$495,830","49,583","6,000","2,982",2-04,27001,1235 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-024-0000
0,"$14,688.07","$14,812.55","$14,255.00","$13,964.30","$13,494.37","1,132.50",0.00,0.00,"15,820.57","14,688.07","$433,380","43,338","6,000","2,292",2-04,27001,1231 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-025-0000
0,"$15,375.16","$19,889.17","$19,143.68","$18,724.03","$16,455.99",0.00,0.00,0.00,"15,375.16","15,375.16","$421,190","42,119","6,000","2,167",2-05,27001,1227 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-026-0000
0,"$16,026.69","$16,059.57","$15,453.58","$17,251.00","$15,945.56","1,132.50",0.00,906.00,"18,065.19","16,026.69","$494,870","49,487","6,000","2,246",2-06,27001,1225 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-027-0000
0,"$10,798.84","$13,451.32","$12,944.92","$13,723.04","$12,254.41","1,132.50",0.00,0.00,"11,931.34","10,798.84","$326,850","32,685","6,000","1,490",2-05,27001,1221 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-028-0000
0,"$18,163.26","$17,117.91","$16,474.04","$16,134.67","$18,267.11","1,132.50",0.00,0.00,"19,295.76","18,163.26","$528,590","52,859","6,000","2,417",2-06,27001,1217 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-029-0000
0,"$12,647.42","$15,413.16","$14,831.33","$15,206.32","$14,221.02","1,132.50",0.00,906.00,"14,685.92","12,647.42","$402,310","40,231","6,000","2,088",2-05,27001,1213 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-030-0000
0,"$20,904.59","$19,582.75","$19,859.55","$19,445.99","$18,122.09",0.00,0.00,0.00,"20,904.59","20,904.59","$572,660","57,266","6,366","2,444",2-06,27001,1201 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-034-0000
0,"$15,083.43","$18,303.36","$17,615.15","$17,250.75","$16,502.94","1,132.50",0.00,0.00,"16,215.93","15,083.43","$444,220","44,422","9,000","2,132",2-05,27001,1211 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-035-0000
0,"$21,148.64","$25,507.74","$24,549.44","$24,032.97","$23,824.95","1,132.50",0.00,0.00,"22,281.14","21,148.64","$610,370","61,037","9,000","3,394",2-06,27001,1205 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-036-0000
0,"$80,761.07","$73,273.31","$70,526.68","$68,980.82","$83,413.09",0.00,0.00,0.00,"80,761.07","80,761.07",,"221,235","20,887",,5-17,27001,6323  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-100-038-0000
0,"$136,818.23","$81,681.95","$78,620.09","$76,896.93","$85,824.37",0.00,0.00,0.00,"136,818.23","136,818.23",,"374,794","25,137",,5-17,27001,6315  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-100-039-0000
0,"$49,984.81","$35,230.24","$33,909.55","$33,166.35","$34,889.22",0.00,0.00,0.00,"49,984.81","49,984.81",,"136,927","13,500",,5-22,27001,6249  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-001-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6211  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-002-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-003-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-004-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6205  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-005-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-006-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6201  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-007-0000
0,"$12,428.39","$15,458.95","$14,877.25","$14,572.88","$12,645.95","1,132.50",0.00,0.00,"13,560.89","12,428.39","$371,490","37,149","5,000","2,052",2-05,27001,1230 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-008-0000
0,"$10,081.18","$8,831.50","$8,496.45","$10,328.22","$8,602.74","1,132.50",0.00,906.00,"12,119.68","10,081.18","$332,010","33,201","5,000","1,442",2-03,27001,1228 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-009-0000
0,"$15,889.43","$17,366.98","$16,713.68","$16,369.10","$13,623.59","1,132.50",0.00,0.00,"17,021.93","15,889.43","$466,300","46,630","5,000","2,510",2-04,27001,1224 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-010-0000
0,"$12,384.91","$10,376.66","$9,985.53","$10,597.39","$9,837.81","1,132.50",0.00,0.00,"13,517.41","12,384.91","$370,290","37,029","5,000","1,623",2-03,27001,1222 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-011-0000
0,"$13,357.04","$12,955.17","$12,467.42","$13,144.82","$11,726.75","1,132.50",0.00,0.00,"14,489.54","13,357.04","$396,930","39,693","5,000","2,110",2-04,27001,1220 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-012-0000
0,"$10,855.35","$10,906.50","$10,495.51","$11,023.59","$9,528.69","1,132.50",0.00,0.00,"11,987.85","10,855.35","$328,400","32,840","5,000","1,676",2-03,27001,1216 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-013-0000
0,"$15,641.18","$13,917.08","$15,860.29","$15,534.38","$13,374.05","1,132.50",0.00,0.00,"16,773.68","15,641.18","$471,260","47,126","5,000","2,313",2-04,27001,1212 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-014-0000
0,"$11,968.83","$10,582.70","$10,183.81","$9,982.23","$10,382.84","1,132.50",0.00,0.00,"13,101.33","11,968.83","$358,900","35,890","5,000","1,461",2-03,27001,1210 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-015-0000
0,"$12,822.96","$14,677.03","$14,124.72","$13,836.79","$11,593.08","1,132.50",0.00,0.00,"13,955.46","12,822.96","$382,290","38,229","5,000","1,957",2-04,27001,1206 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-016-0000
0,"$12,655.46","$11,488.69","$11,054.07","$10,850.84","$10,287.94","1,132.50",0.00,906.00,"14,693.96","12,655.46","$402,520","40,252","5,000","1,988",2-04,27001,1204 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-017-0000
0,"$12,090.34","$12,198.51","$11,737.21","$11,519.03","$12,742.29","1,132.50",0.00,906.00,"14,128.84","12,090.34","$387,040","38,704","5,305","1,860",2-05,27001,1200 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-018-0000
0,"$12,463.50","$10,063.79","$7,261.72","$12,363.87","$8,178.17","1,132.50",0.00,906.00,"14,502.00","12,463.50","$397,260","39,726","5,000","2,203",2-04,27001,1231 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-019-0000
0,"$13,498.72","$16,052.86","$15,448.88","$15,131.96","$12,910.00","1,132.50",0.00,0.00,"14,631.22","13,498.72","$407,690","40,769","5,000","2,269",2-04,27001,1227 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-020-0000
0,"$12,928.51","$10,156.28","$11,017.92","$11,278.87","$10,362.03","1,132.50",0.00,906.00,"14,967.01","12,928.51","$410,010","41,001","5,000","2,265",2-04,27001,1225 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-021-0000
0,"$5,555.59","$6,454.30","$5,969.52","$5,736.60","$7,617.78","1,132.50","4,356.95",906.00,"11,951.05","5,555.59","$327,380","32,738","5,000","1,131",2-03,27001,1223 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-022-0000
