,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-07-323-080-0000,1033  LINCOLN TRL,OAK PARK,Oak Park,295,"1,543",40,27001,"$2,469","$35,494","$37,963","$2,468","$35,493","$37,961","$379,630","$379,610",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,450",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-323-081-0000,1031  LINCOLN TRL,OAK PARK,Oak Park,295,"1,031",40,27001,"$1,650","$34,886","$36,536","$1,649","$34,886","$36,535","$365,360","$365,350",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,1,None,None,Yes,1,2 car attached,15,"2,394",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-323-082-0000,1029  LINCOLN TRL,OAK PARK,Oak Park,295,"1,091",40,27001,"$1,746","$34,539","$36,285","$1,745","$34,538","$36,283","$362,850","$362,830",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,394",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-323-083-0000,1027  LINCOLN TRL,OAK PARK,Oak Park,295,"1,562",40,27001,"$2,499","$34,975","$37,474","$2,499","$34,974","$37,473","$374,740","$374,730",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,1,None,None,Yes,0,2 car attached,15,"2,450",Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,N/A,N/A,N/A,2016,"Yes | $1,005.06",Yes | $717.90,N/A
0,16-07-323-084-0000,1024  BALDWIN LN,OAK PARK,Oak Park,295,"2,515",40,27001,"$4,024","$33,346","$37,370","$4,024","$33,345","$37,369","$373,700","$373,690",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,450",Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-323-085-0000,1022  BALDWIN LN,OAK PARK,Oak Park,295,"2,632",40,27001,"$4,211","$33,362","$37,573","$4,211","$33,361","$37,572","$375,730","$375,720",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,450",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-323-086-0000,1023  LINCOLN TRL,OAK PARK,Oak Park,295,"1,550",40,27001,"$2,480","$35,501","$37,981","$2,480","$35,500","$37,980","$379,810","$379,800",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,450",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,N/A,N/A,N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-323-087-0000,1021  LINCOLN TRL,OAK PARK,Oak Park,295,"1,102",40,27001,"$1,763","$34,561","$36,324","$1,763","$34,561","$36,324","$363,240","$363,240",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,394",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,N/A,N/A,N/A
0,16-07-323-088-0000,1019  LINCOLN TRL,OAK PARK,Oak Park,295,"1,043",40,27001,"$1,669","$35,339","$37,008","$1,668","$35,338","$37,006","$370,080","$370,060",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,394",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-323-089-0000,1017  LINCOLN TRL,OAK PARK,Oak Park,295,"1,506",40,27001,"$2,410","$35,450","$37,860","$2,409","$35,450","$37,859","$378,600","$378,590",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame/Masonry,3,0,None,None,Yes,0,2 car attached,15,"2,450",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
