,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions
0,$0.00,"$2,984.67","$2,870.59","$2,829.41","$2,949.28","$112,090","11,209","7,306",,2-99,27001,906 S TAYLOR AVE,OAK PARK,60304,OAK PARK,16-17-305-032-1007,,,,,
0,$0.00,"$2,984.67","$2,870.59","$2,829.41","$2,949.28","$112,090","11,209","7,306",,2-99,27001,906 S TAYLOR AVE,OAK PARK,60304,OAK PARK,16-17-305-032-1008,,,,,
0,$0.00,"$2,984.67","$2,870.59","$2,829.41","$2,949.28","$112,090","11,209","7,306",,2-99,27001,908 S TAYLOR AVE,OAK PARK,60304,OAK PARK,16-17-305-032-1009,,,,,
0,$0.00,"$2,984.67","$2,870.59","$2,829.41","$2,949.28","$112,090","11,209","7,306",,2-99,27001,908 S TAYLOR AVE,OAK PARK,60304,OAK PARK,16-17-305-032-1010,,,,,
0,$0.00,"$3,521.87","$3,387.67","$3,335.09","$3,444.05","$126,090","12,609","7,306",,2-99,27001,910 S TAYLOR AVE,OAK PARK,60304,OAK PARK,16-17-305-032-1011,,,,,
0,$0.00,"$3,521.87","$3,387.67","$3,335.09","$3,444.05","$126,090","12,609","7,306",,2-99,27001,910 S TAYLOR AVE,OAK PARK,60304,OAK PARK,16-17-305-032-1012,,,,,
0,"$52,567.59","$45,394.81","$43,693.25","$42,735.55","$35,994.50",,"144,002","13,637",,3-15,27001,45  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-306-001-0000,0.00,0.00,0.00,"52,567.59","52,567.59"
0,"$68,078.54","$46,274.48","$44,539.91","$43,563.69","$36,442.90",,"186,491","6,250",,3-15,27001,37  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-306-002-0000,0.00,0.00,0.00,"68,078.54","68,078.54"
0,"$57,667.35","$56,812.45","$54,682.88","$53,484.36","$59,816.72",,"157,972","13,637",,3-18,27001,27  HARRISON ST,OAK PARK,60304,OAK PARK,16-17-306-003-0000,0.00,0.00,0.00,"57,667.35","57,667.35"
0,"$6,085.72","$6,336.15","$6,098.67",$768.89,"$1,336.30","$232,220","23,222","3,150","2,178",2-11,27001,912 S LYMAN AVE,OAK PARK,60304,OAK PARK,16-17-306-004-0000,566.25,0.00,0.00,"6,651.97","6,085.72"
0,"$6,085.72","$6,336.15","$6,098.67",$768.89,"$1,336.30","$182,220","18,222","3,150","2,159",2-11,27001,914 S LYMAN AVE,OAK PARK,60304,OAK PARK,16-17-306-005-0000,566.25,0.00,0.00,"6,651.97","6,085.72"
0,"$11,096.69","$10,677.04","$10,274.65","$10,071.11","$8,914.16","$341,130","34,113","3,150","1,310",2-05,27001,916 S LYMAN AVE,OAK PARK,60304,OAK PARK,16-17-306-006-0000,"1,132.50",0.00,0.00,"12,229.19","11,096.69"
0,"$12,709.82","$11,950.77","$11,500.62","$11,270.21","$10,823.49","$379,200","37,920","3,150","1,310",2-05,27001,918 S LYMAN AVE,OAK PARK,60304,OAK PARK,16-17-306-007-0000,"1,132.50",0.00,0.00,"13,842.32","12,709.82"
