,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions
0,$0.00,"$3,251.49","$3,129.64","$3,061.04","$3,045.19","$84,750","8,475","18,250",,2-99,27001,612 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1001,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,612 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1002,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,612 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1003,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,612 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1004,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,612 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1005,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,612 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1006,,,,,
0,$0.00,"$2,529.70","$2,432.67","$2,401.02","$2,597.22","$100,230","10,023","18,250",,2-99,27001,614 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1007,,,,,
0,$0.00,"$3,845.40","$3,701.27","$3,620.12","$2,597.22","$100,230","10,023","18,250",,2-99,27001,614 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1008,,,,,
0,$0.00,"$2,529.70","$2,432.67","$2,401.02","$2,597.22","$100,230","10,023","18,250",,2-99,27001,614 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1009,,,,,
0,$0.00,"$2,052.10","$1,972.93","$1,951.41","$2,149.25","$87,780","8,778","18,250",,2-99,27001,616 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1010,,,,,
0,$0.00,"$3,367.80","$3,241.53","$1,951.41","$2,149.25","$87,780","8,778","18,250",,2-99,27001,616 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1011,,,,,
0,$0.00,"$3,367.80","$3,241.53","$3,170.51","$3,154.31","$87,780","8,778","18,250",,2-99,27001,616 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1012,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,616 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1013,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,616 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1014,,,,,
0,$0.00,"$1,935.79","$1,861.04","$1,841.94","$2,040.13","$84,750","8,475","18,250",,2-99,27001,616 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1015,,,,,
0,$0.00,"$1,237.55","$1,188.93","$1,184.60","$1,237.52","$66,550","6,655","18,250",,2-99,27001,618 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1016,,,,,
0,$0.00,"$1,670.28","$1,605.54","$1,592.02","$1,791.73","$77,830","7,783","18,250",,2-99,27001,618 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1017,,,,,
0,$0.00,"$1,670.28","$1,605.54","$1,592.02","$1,791.73","$77,830","7,783","18,250",,2-99,27001,618 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1018,,,,,
0,$0.00,"$1,835.80","$1,767.03","$1,728.32","$1,719.37","$47,850","4,785","18,250",,2-99,27001,618 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1019,,,,,
0,$0.00,$520.10,$498.43,$509.22,$714.31,"$47,850","4,785","18,250",,2-99,27001,618 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1020,,,,,
0,$0.00,$520.10,$498.43,$509.22,$714.31,"$47,850","4,785","18,250",,2-99,27001,618 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1021,,,,,
0,$0.00,"$2,937.30","$2,827.20","$2,765.16","$2,751.42","$76,560","7,656","18,250",,2-99,27001,620 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1022,,,,,
0,$0.00,"$2,937.30","$2,827.20","$1,546.06","$1,746.36","$76,560","7,656","18,250",,2-99,27001,620 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1023,,,,,
0,$0.00,"$1,621.60","$1,558.60","$1,546.06","$1,746.36","$76,560","7,656","18,250",,2-99,27001,620 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1024,,,,,
0,$0.00,"$1,573.97","$1,512.81","$1,501.32","$1,701.71","$75,320","7,532","18,250",,2-99,27001,620 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1025,,,,,
0,$0.00,"$2,889.67","$2,781.41","$2,720.42","$2,706.77","$75,320","7,532","18,250",,2-99,27001,620 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1026,,,,,
0,$0.00,"$1,573.97","$1,512.81","$1,501.32","$1,701.71","$75,320","7,532","18,250",,2-99,27001,620 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1027,,,,,
0,$0.00,"$1,992.23","$1,915.33","$1,894.97","$2,093.25","$86,220","8,622","18,250",,2-99,27001,622 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1028,,,,,
0,$0.00,"$1,992.23","$1,915.33","$1,894.97","$1,479.45","$86,220","8,622","18,250",,2-99,27001,622 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1029,,,,,
0,$0.00,"$1,992.23","$1,915.33","$1,894.97","$2,093.25","$86,220","8,622","18,250",,2-99,27001,622 W HARRISON ST,OAK PARK,60304,OAK PARK,16-18-227-025-1030,,,,,
